"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2024","341.05","339.98","341.89","337.84","107.70K","0.14%"
"10/01/2024","340.59","345.00","345.00","338.30","217.03K","-1.36%"
"09/30/2024","345.29","342.64","345.51","341.51","132.17K","0.45%"
"09/27/2024","343.73","346.06","346.06","342.90","123.89K","-0.68%"
"09/26/2024","346.08","348.64","348.64","343.89","176.44K","0.34%"
"09/25/2024","344.91","344.49","346.10","344.12","125.49K","0.03%"
"09/24/2024","344.79","343.92","344.79","340.68","131.17K","0.57%"
"09/23/2024","342.83","342.86","343.44","342.00","112.80K","0.14%"
"09/20/2024","342.34","342.73","343.52","340.30","139.36K","-0.25%"
"09/19/2024","343.21","341.86","344.32","340.75","232.35K","2.48%"
"09/18/2024","334.90","336.90","339.48","334.46","288.40K","-0.33%"
"09/17/2024","336.01","337.77","338.31","334.38","144.88K","0.07%"
"09/16/2024","335.79","335.18","335.79","333.56","129.19K","-0.27%"
"09/13/2024","336.71","335.54","337.53","335.00","160.12K","0.38%"
"09/12/2024","335.43","331.90","335.54","330.74","152.64K","1.23%"
"09/11/2024","331.36","325.56","331.91","320.21","149.99K","2.08%"
"09/10/2024","324.60","323.13","324.87","320.68","132.25K","0.86%"
"09/09/2024","321.83","321.12","322.25","318.73","139.23K","1.19%"
"09/06/2024","318.03","325.49","326.35","317.31","214.12K","-2.23%"
"09/05/2024","325.27","324.24","328.55","323.81","173.01K","0.06%"
"09/04/2024","325.09","324.03","327.46","323.13","187.77K","-0.31%"
"09/03/2024","326.11","334.13","334.20","324.21","301.58K","-2.98%"
"08/30/2024","336.11","335.05","336.44","332.07","134.48K","0.90%"
"08/29/2024","333.11","334.98","337.78","332.15","225.41K","-0.15%"
"08/28/2024","333.61","337.10","337.14","331.43","237.58K","-1.06%"
"08/27/2024","337.17","334.95","337.68","333.80","162.16K","0.30%"
"08/26/2024","336.15","338.48","339.40","334.61","165.12K","-0.58%"
"08/23/2024","338.10","336.86","339.71","334.96","142.00K","1.06%"
"08/22/2024","334.57","341.06","341.30","333.77","165.49K","-1.40%"
"08/21/2024","339.33","338.14","340.52","337.07","125.08K","0.38%"
"08/20/2024","338.05","338.37","339.77","336.89","114.74K","-0.04%"
